Timestamp,What type of teaching does your favorite class do?,Are you interested in other approach of teaching?,Does your professor upload slides online?,Do you allocate extra time outside of class to study?,Is your TA helpful?,Are your assignments hard,Are your quizzes hard?,Is the office hour helpful,Do you enjoy the course?,Are you passing?,like
11/11/2023 10:59:44,1,1,1,1,1,0,0,1,1,1,1
11/11/2023 10:59:45,0.5,1,1,1,1,0,0,0,1,1,1
11/11/2023 10:59:51,0,0,1,1,1,1,1,1,1,1,1
11/11/2023 10:59:55,1,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:00:24,1,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:00:31,0,0,0,0,0,1,1,0,0,1,0
11/11/2023 11:00:36,1,0,1,0,1,1,0,0,1,1,1
11/11/2023 11:00:38,1,0,1,1,0,1,0,0,0,1,0
11/11/2023 11:00:42,1,1,1,1,0,1,1,1,1,1,1
11/11/2023 11:01:06,1,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:01:09,1,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:01:18,0.5,1,1,1,1,1,0,1,1,1,1
11/11/2023 11:01:26,0.5,0,1,1,1,1,0,1,1,1,1
11/11/2023 11:01:26,1,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:01:34,1,1,1,1,1,0,0,0,1,1,1
11/11/2023 11:01:40,1,0,1,1,0,1,1,1,1,0,1
11/11/2023 11:01:42,0.5,1,1,1,0,1,1,1,1,1,1
11/11/2023 11:01:45,0.5,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:01:48,0,0,0,0,0,0,0,0,1,1,1
11/11/2023 11:01:59,0.5,1,1,1,1,1,0,1,1,1,1
11/11/2023 11:02:10,1,1,1,1,1,1,0,1,1,1,1
11/11/2023 11:02:11,0.5,0,0,0,0,0,1,0,0,1,0
11/11/2023 11:02:13,1,1,0,1,1,0,1,1,1,1,1
11/11/2023 11:02:19,0.5,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:02:27,1,1,1,1,1,1,1,0,0,1,0
11/11/2023 11:02:28,0,0,0,1,0,1,1,0,1,1,1
11/11/2023 11:02:28,0.5,1,1,0,0,0,0,1,1,1,1
11/11/2023 11:02:31,0,1,1,1,1,1,1,1,0,1,0
11/11/2023 11:02:57,1,1,1,1,1,0,0,1,1,1,1
11/11/2023 11:03:17,0.5,0,1,1,1,0,1,1,1,1,1
11/11/2023 11:03:22,0.5,1,1,1,0,0,0,1,1,1,1
11/11/2023 11:03:22,0.5,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:03:31,0.5,0,1,0,1,1,1,1,1,1,1
11/11/2023 11:04:15,1,1,1,1,0,0,0,1,1,1,1
11/11/2023 11:04:19,1,1,1,1,0,1,1,1,1,1,1
11/11/2023 11:04:35,1,0,1,1,0,1,1,0,0,1,0
11/11/2023 11:04:44,0.5,1,1,1,0,0,0,0,0,1,0
11/11/2023 11:05:08,0,0,1,1,1,1,1,1,1,1,1
11/11/2023 11:05:11,0.5,1,1,1,1,1,0,0,1,1,1
11/11/2023 11:05:18,1,1,1,1,1,1,1,0,1,1,1
11/11/2023 11:05:29,0.5,1,1,1,1,0,0,1,1,1,1
11/11/2023 11:05:35,1,1,1,1,0,0,1,0,1,1,1
11/11/2023 11:05:35,0.5,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:05:41,0.5,1,1,1,1,1,0,1,1,1,1
11/11/2023 11:05:55,1,0,1,0,1,1,0,1,1,1,1
11/11/2023 11:05:58,1,0,1,1,1,1,0,1,1,1,1
11/11/2023 11:06:01,0.5,0,1,1,1,1,1,1,1,1,1
11/11/2023 11:06:34,1,1,1,0,0,0,0,0,0,1,0
11/11/2023 11:06:49,0.5,1,0,1,0,1,0,1,1,1,1
11/11/2023 11:07:02,1,1,1,1,1,1,1,1,0,1,0
11/11/2023 11:07:30,0.5,1,1,1,1,1,1,1,1,1,1
11/11/2023 11:07:52,1,1,1,1,0,1,1,0,1,1,1
11/11/2023 11:13:30,0.5,0,1,1,1,0,0,1,1,1,1
11/11/2023 11:14:21,1,0,1,0,1,0,0,0,1,1,1
11/11/2023 11:15:56,0.5,1,1,1,0,1,1,1,1,1,1
11/11/2023 11:19:12,1,1,1,1,1,1,0,0,1,1,1
11/11/2023 11:21:20,0,0,1,1,0,0,0,1,1,1,1
11/11/2023 11:22:12,0.5,1,1,1,1,1,0,1,0,1,0
11/11/2023 11:23:17,0.5,1,1,1,1,1,0,1,1,1,1
11/11/2023 11:55:20,1,1,1,1,0,1,1,1,1,1,1
11/11/2023 12:15:21,1,1,1,1,1,1,1,0,1,1,1
11/11/2023 12:20:45,0.5,0,1,0,1,1,1,1,1,1,1
11/11/2023 12:22:09,0.5,1,1,1,0,1,1,0,1,1,1
11/11/2023 12:27:14,1,1,1,1,1,0,1,1,1,1,1
11/11/2023 12:37:14,1,1,0,0,0,0,0,0,0,1,1